Código COMPE;Banco;Nome Completo;ISPB;Site
301;DOCK IP S.A.;DOCK INSTITUIÇÃO DE PAGAMENTO S.A.;13370835;
306;PORTOPAR DTVM LTDA;PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;40303299;
307;TERRA INVESTIMENTOS DTVM;Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.;03751794;
309;CAMBIONET CC LTDA;CAMBIONET CORRETORA DE CÂMBIO LTDA.;14190547;
310;VORTX DTVM LTDA.;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;22610500;
311;DOURADA CORRETORA;DOURADA CORRETORA DE CÂMBIO LTDA.;76641497;
312;HSCM SCMEPP LTDA.;HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT;07693858;
313;AMAZÔNIA CC LTDA.;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.;16927221;
318;BCO BMG S.A.;Banco BMG S.A.;61186680;
319;OM DTVM LTDA;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;11495073;
320;BCO CCB BRASIL S.A.;China Construction Bank (Brasil) Banco Múltiplo S/A;07450604;
321;CREFAZ SCMEPP LTDA;CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT;18188384;
322;CCR DE ABELARDO LUZ;Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz;01073966;
323;MERCADO PAGO IP LTDA.;MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;
324;CARTOS SCD S.A.;CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.;21332862;
325;ÓRAMA DTVM S.A.;Órama Distribuidora de Títulos e Valores Mobiliários S.A.;13293225;
326;PARATI - CFI S.A.;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;03311443;
328;CECM FABRIC CALÇADOS SAPIRANGA;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA;05841967;
329;QI SCD S.A.;QI Sociedade de Crédito Direto S.A.;32402502;
330;BANCO BARI S.A.;BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.;00556603;
331;FRAM CAPITAL DTVM S.A.;Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.;13673855;
332;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;13140088;
334;BANCO BESA S.A.;BANCO BESA S.A.;15124464;
335;BANCO DIGIO;Banco Digio S.A.;27098060;
336;BCO C6 S.A.;Banco C6 S.A.;31872495;
340;SUPERDIGITAL I.P. S.A.;SUPERDIGITAL INSTITUIÇÃO DE PAGAMENTO S.A.;09554480;
341;ITAÚ UNIBANCO S.A.;ITAÚ UNIBANCO S.A.;60701190;
342;CREDITAS SCD;Creditas Sociedade de Crédito Direto S.A.;32997490;
343;FFA SCMEPP LTDA.;FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;24537861;
348;BCO XP S.A.;Banco XP S.A.;33264668;
349;AL5 S.A. CFI;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;27214112;
350;CREHNOR LARANJEIRAS;COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE;01330387;
352;TORO CTVM S.A.;TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;29162769;
355;ÓTIMO SCD S.A.;ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.;34335592;
358;MIDWAY S.A. - SCFI;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;09464032;
359;ZEMA CFI S/A;ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;05351887;
360;TRINUS CAPITAL DTVM;TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;02276653;
362;CIELO IP S.A.;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;01027058;
363;SINGULARE CTVM S.A.;SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;62285390;
364;EFÍ S.A. - IP;EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO;09089356;
365;SIMPAUL;SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.;68757681;
366;BCO SOCIETE GENERALE BRASIL;BANCO SOCIETE GENERALE BRASIL S.A.;61533584;
367;VITREO DTVM S.A.;VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;34711571;
368;BCO CSF S.A.;Banco CSF S.A.;08357240;
370;BCO MIZUHO S.A.;Banco Mizuho do Brasil S.A.;61088183;
371;WARREN CVMC LTDA;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;92875780;
373;UP.P SEP S.A.;UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.;35977097;
374;REALIZE CFI S.A.;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;
376;BCO J.P. MORGAN S.A.;BANCO J.P. MORGAN S.A.;33172537;
377;BMS SCD S.A.;BMS SOCIEDADE DE CRÉDITO DIRETO S.A.;17826860;
378;BCO BRASILEIRO DE CRÉDITO S.A.;BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA;01852137;
379;CECM COOPERFORTE;COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU;01658426;
380;PICPAY;PICPAY INSTITUIçãO DE PAGAMENTO S.A.;22896431;
381;BCO MERCEDES-BENZ S.A.;BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;
382;FIDUCIA SCMEPP LTDA;FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L;04307598;
383;EBANX IP LTDA.;EBANX INSTITUICAO DE PAGAMENTOS LTDA.;21018182;
384;GLOBAL SCM LTDA;GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO;11165756;
385;CECM DOS TRAB.PORT. DA G.VITOR;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V;03844699;
386;NU FINANCEIRA S.A. CFI;NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento;30680829;
387;BCO TOYOTA DO BRASIL S.A.;Banco Toyota do Brasil S.A.;03215790;
389;BCO MERCANTIL DO BRASIL S.A.;Banco Mercantil do Brasil S.A.;17184037;
390;BCO GM S.A.;BANCO GM S.A.;59274605;
391;CCR DE IBIAM;COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM;08240446;
393;BCO VOLKSWAGEN S.A;Banco Volkswagen S.A.;59109165;
394;BCO BRADESCO FINANC. S.A.;Banco Bradesco Financiamentos S.A.;07207996;
395;F D GOLD DTVM LTDA;F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;08673569;
396;HUB IP S.A.;HUB INSTITUIÇÃO DE PAGAMENTO S.A.;13884775;
397;LISTO SCD S.A.;LISTO SOCIEDADE DE CREDITO DIRETO S.A.;34088029;
